,/lpc/w83627dhgp/voltage/0,/lpc/w83627dhgp/voltage/1,/lpc/w83627dhgp/voltage/2,/lpc/w83627dhgp/voltage/3,/lpc/w83627dhgp/voltage/4,/lpc/w83627dhgp/voltage/5,/lpc/w83627dhgp/voltage/6,/lpc/w83627dhgp/voltage/7,/lpc/w83627dhgp/temperature/0,/lpc/w83627dhgp/temperature/1,/lpc/w83627dhgp/temperature/2,/lpc/w83627dhgp/fan/1,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU VCore","Voltage #2","AVCC","3VCC","Voltage #5","Voltage #6","Voltage #7","3VSB","CPU","Auxiliary","System","CPU Fan","CPU Core #1","CPU Core #2","CPU Total","CPU Core #1","CPU Core #2","CPU Core #1","CPU Core #2","Bus Speed","Memory","Used Memory","Available Memory","Temperature","Used Space"
05/20/2022 21:55:04,1.23200011,0.944000065,3.344,3.344,1.672,1.75200009,1.89600015,3.47200012,39,46,35,2295.91846,64.0625,64.0625,64.0625,48,43,2926.197,2926.197,266.0179,56.9152,2.132698,1.61445236,40,64.6523743
05/20/2022 21:55:05,1.24,0.944000065,3.344,3.344,1.68000007,1.75200009,1.89600015,3.47200012,39,46.5,35,2265.10059,57.8125,62.5,60.15625,45,43,2926.197,2926.197,266.0179,57.0958977,2.13946915,1.60768127,40,64.6523743
05/20/2022 21:55:06,1.248,0.944000065,3.344,3.344,1.672,1.74400008,1.89600015,3.47200012,39,46.5,35,2265.10059,60.9375,60.9375,60.9375,45,44,2926.197,2926.197,266.0179,57.3622131,2.14944839,1.597702,40,64.6523743
05/20/2022 21:55:07,1.23200011,0.944000065,3.344,3.344,1.68000007,1.74400008,1.89600015,3.47200012,39,46.5,35,2265.10059,72.30769,76.92308,74.61539,46,43,2926.197,2926.197,266.0179,57.42411,2.15176773,1.59538269,40,64.6523743
05/20/2022 21:55:08,1.24,0.944000065,3.344,3.344,1.672,1.74400008,1.89600015,3.47200012,39,46.5,35,2280.40552,79.6875,79.6875,79.6875,46,44,2926.197,2926.197,266.0179,57.7115974,2.16254044,1.58461,40,64.6523743
05/20/2022 21:55:09,1.24,0.944000065,3.328,3.344,1.672,1.74400008,1.89600015,3.47200012,39,46.5,35,2280.40552,100,100,100,46,44,2926.197,2926.197,266.0179,58.2157249,2.18143082,1.5657196,40,64.6523743
05/20/2022 21:55:10,1.24,0.952,3.328,3.344,1.672,1.74400008,1.89600015,3.47200012,39,46.5,35,2265.10059,100,100,100,46,45,2926.197,2926.197,266.0179,58.2299767,2.18196487,1.56518555,40,64.6523743
05/20/2022 21:55:11,1.23200011,0.944000065,3.328,3.344,1.672,1.74400008,1.89600015,3.47200012,39,46.5,35,2265.10059,100,100,100,47,44,2926.197,2926.197,266.0179,58.74866,2.20140076,1.54574966,40,64.6523743
05/20/2022 21:55:12,1.24,0.944000065,3.344,3.344,1.672,1.74400008,1.89600015,3.47200012,39,46.5,35,2265.10059,71.875,71.875,71.875,47,45,2926.197,2926.197,266.0179,58.8606453,2.205597,1.5415535,40,64.6523743
05/20/2022 21:55:13,1.24,0.944000065,3.344,3.344,1.68000007,1.74400008,1.89600015,3.47200012,40,46.5,35,2280.40552,82.8125,78.125,80.46875,46,43,2926.197,2926.197,266.0179,59.0604858,2.21308517,1.53406525,40,64.6523743
05/20/2022 21:55:14,1.24,0.944000065,3.344,3.344,1.68000007,1.74400008,1.89600015,3.47200012,40,46.5,35,2280.40552,64.0625,51.5625,57.8125,46,44,2926.197,2926.197,266.0179,58.5944328,2.19562149,1.55152893,40,64.6523743
05/20/2022 21:55:15,1.24,0.944000065,3.344,3.344,1.68000007,1.74400008,1.89600015,3.47200012,40,46.5,35,2280.40552,66.15385,66.15385,66.15385,46,43,2926.197,2926.197,266.0179,58.50688,2.19234085,1.55480957,40,64.6523743
05/20/2022 21:55:16,1.24,0.944000065,3.344,3.344,1.672,1.74400008,1.89600015,3.47200012,40,46.5,35,2265.10059,78.125,75,76.5625,47,45,2926.197,2926.197,266.0179,58.75711,2.20171738,1.545433,40,64.6523743
05/20/2022 21:55:17,1.24,0.944000065,3.344,3.344,1.68000007,1.74400008,1.89600015,3.47200012,40,46.5,36,2265.10059,69.2307739,80,74.61539,46,43,2926.197,2926.197,266.0179,59.05682,2.21294785,1.53420258,40,64.6523743
05/20/2022 21:55:18,1.24,0.944000065,3.344,3.344,1.68000007,1.74400008,1.89600015,3.47200012,40,46.5,35,2265.10059,46.875,59.375,53.125,45,43,2926.197,2926.197,266.0179,59.1066,2.21481323,1.53233719,40,64.6523743
05/20/2022 21:55:19,1.248,0.944000065,3.344,3.344,1.68000007,1.74400008,1.89600015,3.47200012,40,46,35,2280.40552,42.1875,53.125,47.65625,45,44,2926.197,2926.197,266.0179,60.0002251,2.24829865,1.49885178,40,64.6523743
